"text","true_label","predicted_label","true_label_id","predicted_label_id","predicted_prob","true_prob","dist_score","token_count","max_dep_depth","clause_count","struct_score","edge_score"
"a group of 11 people in winter wear such as beanies, skiing jackets, gloves and backpacks are standing in snow paddles outside a house made of ice blocks while a person in front of the door seems to be leading them. people are out in winter.","neutral","entailment","1","0","0.9726816415786743","0.021114876493811607","14.33886432647705","46","46","1","0.8287853998675548","0.7007864090179332"
"a young man in a white shirt is sitting on a wall with his legs wrapped around a young girl, with their motorcycle helmets on the wall behind him. a man is sitting on a wall.","neutral","entailment","1","0","0.984649121761322","0.008093900047242641","14.385279655456543","36","36","1","0.8060944256164544","0.6984797951498805"
"a curly - haired brunette wearing a black and purple reversible jacket and a long scarf is standing outside in the sunlight. a person with a scarf stands in the sunlight.","neutral","entailment","1","0","0.9878376722335815","0.00868562888354063","14.695510864257812","31","31","1","0.7693798449612403","0.6972901955367997"
"an asian man is cutting some meat on a cutting board in a kitchen and he is wearing a long blue t - shirt. a man is cutting meat.","entailment","neutral","0","1","0.9883459210395813","0.006970876362174749","14.678921699523926","29","29","1","0.7450333060652098","0.6922601591335026"
"a truck is decorated in american flags and the colors of the flag, three people are in the truck bed with one driving. there are people in a vehicle.","contradiction","entailment","2","0","0.9856060147285461","0.005852836184203625","14.47521686553955","29","29","1","0.7450333060652098","0.6882927019864707"
"there are 3 people in this picture, a man who is looking through some object, another looking at something else perhaps not in the picture, and a little girl with her mouth open wide. people are looking at a photograph.","neutral","entailment","1","0","0.9663692712783813","0.020473776385188103","13.766197204589844","40","40","1","0.8200596003272175","0.6876374979757734"
"three people, two males and a female, are sitting in front of a tall tree on the ground during a rest from a hike. three people are together outside.","contradiction","entailment","2","0","0.98758465051651","0.0026505663990974426","14.395771026611328","29","29","1","0.7450333060652098","0.6870219980130334"
"a woman wearing a pink shirt and a name tag which reads "" amanda "" applies lipstick to her upper lip, her mouth moderately open. a woman puts lipstick on.","neutral","entailment","1","0","0.9842981100082397","0.010869904421269894","14.288568496704102","30","30","1","0.7582388687624168","0.6866944082692725"
"a man dressed mainly in black is holding a huge triangular guitar - like instrument with a musical stand in front of him. a man plays an instrument.","neutral","entailment","1","0","0.9847559332847595","0.012176208198070526","14.527563095092773","28","28","1","0.729802111331853","0.6856623775522531"
"an older man with a white beard, wearing a blue shirt and blue baseball cap, is playing guitar to a small black girl sitting on a red stool. an elderly man is playing a guitar.","neutral","entailment","1","0","0.9781655669212341","0.016632238402962685","13.804727554321289","35","35","1","0.8014977990728838","0.6850808753694843"
"two men are hugging each other while the other one is waving his hand at somebody in the audience. two people hug in front of an audience.","neutral","entailment","1","0","0.9825170636177063","0.01500803604722023","14.666426658630371","27","27","1","0.7130127381091503","0.6848021119718124"
"a dark - haired gentleman with a mustache and wearing a sweater is simultaneously pressing buttons on an old - fashioned computer monitor and the keyboard. a person is touching a monitor and keyboard at the same time.","neutral","entailment","1","0","0.9791577458381653","0.013417128473520279","13.64186954498291","38","38","1","0.8141579992988198","0.6846731373165263"
"the player wearing the black and white jersey jumps for the ball amidst two players from the other team as his two teammates run to help him. a person is throwing a ball.","contradiction","entailment","2","0","0.96653151512146","0.012333056889474392","13.858601570129395","33","33","1","0.7876884422110552","0.6838277683210439"
"a parade of women, dressed in blue and yellow and white dresses and matching headgear, walking down a street, while people on the sidewalk watch. the women are in a parade.","neutral","entailment","1","0","0.9724982976913452","0.024086611345410347","14.066420555114746","31","31","1","0.7693798449612403","0.6831523419155273"
"a young man with long dark hair wears a red coat with a mandarin - style collar and plays a yellow electric guitar. a person is playing a musical instrument and wearing a jacket.","neutral","entailment","1","0","0.9687974452972412","0.02484894171357155","13.791314125061035","34","34","1","0.7955572435822523","0.6828024852872853"
"a man wearing a jacket and hat rides his bicycle among bright rays of sunshine that is streaming between an array of autumn leafs. a bike rides a man.","contradiction","entailment","2","0","0.9865732192993164","0.005942955147475004","14.149486541748047","29","29","1","0.7450333060652098","0.6817608254429957"
"black man holding sign in downtown that says "" if you hug a black guy you ' ll get addicted. "" a man is holding a sign.","neutral","entailment","1","0","0.9606043100357056","0.030352750793099403","14.559610366821289","27","27","1","0.7130127381091503","0.6811286065704144"
"a brown dog is laying on its back on the grass with a ball in its mouth. there is a dog laying in brown grass.","neutral","entailment","1","0","0.988933801651001","0.007468255702406168","14.755510330200195","25","25","1","0.6723832339994548","0.6792141211350469"
"a man is holding a souvenir that says "" i ' m a photographer not a terrorist "" at what appears to be a rally somewhere in europe. a man is holding a souvenir at a rally.","neutral","entailment","1","0","0.9781246185302734","0.01617387868463993","13.41267204284668","37","37","1","0.8104768026177398","0.6790714621211623"
"a man in a blue shirt and khaki shorts is playing with his black and yellow dogs in a large grassy field. the man is outside.","neutral","entailment","1","0","0.9892826080322266","0.00860535353422165","14.506853103637695","26","26","1","0.6937887109968447","0.6784020580665454"
