"Name","State","Notes","User","Tags","Created","Runtime","Sweep","accuracy/train","accuracy/val","epoch","learning_rate","loss/train","loss/val","test/acc","test/loss","train/acc","train/loss","val/acc","val/loss","data.data_dir","data.file_path","data.kaggle_dataset","data.label_map.contradiction","data.label_map.entailment","data.label_map.neutral","data.test_size","data.val_size","model.checkpoint_dir","model.distilbert","model.dropout_rate","model.freeze_strategy","model.lora.bias","model.lora.lora_alpha","model.lora.lora_dropout","model.lora.r","model.lora.target_modules","model.max_len","model.model_type","model.name","model.num_frozen_layers","model.save_local","model.use_lora","training.batch_size","training.dropout_rate","training.early_stopping_patience","training.learning_rate","training.max_grad_norm","training.num_epochs","training.warmup_ratio","training.weight_decay","test/misclassification_rate","test/num_misclassifications","gpu/avg_epoch_time_sec","gpu/avg_throughput_samples_per_sec","gpu/epoch_time_sec","gpu/memory_gb","gpu/peak_memory_gb","gpu/throughput_samples_per_sec","gpu/total_training_time_sec"
"Stanford_distilbert_partial_finetune","finished","-","","Stanford, distilbert, partial-finetune","2025-11-23T13:48:36.000Z","1705","","0.7915180103808028","0.807998252543823","3","0.00005","0.5298622767298573","0.5009524457172388","0.8097275060523873","0.4977490730415507","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","distilbert","distilbert-base-uncased","1","false","false","8","0.5","5","0.00005","1","3","0.1","0.1","0.19027249394761273","20906","466.4875502586365","824.3669927048531","466.6234610080719","0.54683648","0.54683648","824.1248718382545","1399.4626507759094"
"Stanford_distilbert_partial_finetune","finished","-","","Stanford, distilbert, partial-finetune","2025-11-23T13:19:17.000Z","1773","","0.7906806810971614","0.804157489487959","3","0.00005","0.5322600068286564","0.5089882608613213","0.8055317909605548","0.5068245118706984","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","distilbert","distilbert-base-uncased","1","false","false","8","0.5","5","0.00005","1","3","0.1","0.1","0.19446820903944517","21367","487.5489959716797","790.032719388115","468.1714572906494","0.54683648","0.54683648","821.3999252014644","1462.646987915039"
"Stanford_distilbert_lora_r8","finished","-","","Stanford, distilbert, lora, r=8","2025-11-23T13:05:35.000Z","2566","","0.8157173467583395","0.8291497533538417","3","0.0001","0.4825512070273692","0.4663695029696872","0.8302055081274915","0.4634146804480926","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""q_lin"",""v_lin""]","256","distilbert","distilbert-base-uncased","","false","true","8","0.5","5","0.0001","1","3","0.1","0.1","0.1697944918725085","18656","743.6087563832601","517.149254653716","744.553795337677","0.873968128","0.873968128","516.4918940821362","2230.8262691497803"
"Stanford_distilbert_lora_r8","finished","-","","Stanford, distilbert, lora, r=8","2025-11-23T12:34:05.000Z","2694","","0.8169525374717856","0.8329905164097057","3","0.0001","0.48137603163940434","0.44269779351625066","0.8331725430948177","0.44196702881360544","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""q_lin"",""v_lin""]","256","distilbert","distilbert-base-uncased","","false","true","8","0.5","5","0.0001","1","3","0.1","0.1","0.1668274569051823","18330","776.5504489739736","496.2652327363671","827.9853227138519","0.873968128","0.873968128","464.4478464178053","2329.651346921921"
"Stanford_bert_partial_finetune","finished","-","","Stanford, bert, partial-finetune","2025-11-23T12:14:15.000Z","3063","","0.8360420848979082","0.8449496696215665","3","0.00003","0.4441992240047324","0.4325005776273552","0.8469246591550321","0.4265567542188355","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","bert","bert-base-uncased","2","false","false","8","0.5","5","0.00003","1","3","0.1","0.1","0.15307534084496788","16819","854.0206048488617","450.2890824629287","854.7364883422852","0.885466112","0.885466112","449.9117625665255","2562.061814546585"
"Stanford_bert_partial_finetune","finished","-","","Stanford, bert, partial-finetune","2025-11-23T11:42:49.000Z","3059","","0.8384942635142866","0.8519758996668911","3","0.00003","0.4395546643322461","0.4093112089803001","0.8521943316890256","0.40779566347102686","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","bert","bert-base-uncased","2","false","false","8","0.5","5","0.00003","1","3","0.1","0.1","0.1478056683109744","16240","854.2233701546987","450.1834838687555","852.0527601242065","0.885466112","0.885466112","451.3288589593232","2562.670110464096"
"Stanford_bert_lora_r8","finished","-","","Stanford, bert, lora, r=8","2025-11-23T10:53:36.000Z","4824","","0.8414093135980195","0.855088555982307","3","0.0001","0.43526104024229934","0.42982529083279875","0.8541784225567468","0.4296665376220421","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""query"",""value""]","256","bert","bert-base-uncased","","false","true","8","0.5","5","0.0001","1","3","0.1","0.1","0.1458215774432532","16022","1419.8940057754517","270.83430533072607","1419.629420042038","1.568318976","1.568318976","270.8847777954704","4259.682017326355"
"Stanford_bert_lora_r8","finished","-","","Stanford, bert, lora, r=8","2025-11-23T10:22:07.000Z","4828","","0.8414431188175454","0.8539417878661012","3","0.0001","0.4333427820994052","0.40895186104990994","0.8538416731892895","0.4091249560044952","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""query"",""value""]","256","bert","bert-base-uncased","","false","true","8","0.5","5","0.0001","1","3","0.1","0.1","0.14615832681071045","16059","1422.6396737098694","270.31173495883985","1421.2430572509766","1.568318976","1.568318976","270.5772232540035","4267.919021129608"
"Stanford_distilbert_partial_finetune","finished","-","","Stanford, distilbert, partial-finetune","2025-11-23T03:23:12.000Z","2248","","0.7723894569321503","0.7835884740702987","3","0.00005","0.6068005539014364","0.612365909173412","0.7842983781422357","0.6129834835489345","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","distilbert","distilbert-base-uncased","1","false","false","4","0.5","5","0.00005","1","3","0.1","0.1","0.21570162185776431","23700","619.2678058942159","620.9858983695635","619.3351106643677","0.478093312","0.478093312","620.9174861529851","1857.8034176826477"
"Stanford_distilbert_lora_r8","finished","-","","Stanford, distilbert, lora, r=8","2025-11-23T02:46:24.000Z","2193","","0.8136656299732679","0.8314978975917869","3","0.0001","0.4770347473982877","0.4448244812245815","0.8297049347434334","0.4456954402756868","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""q_lin"",""v_lin""]","256","distilbert","distilbert-base-uncased","","false","true","16","0.5","5","0.0001","1","3","0.1","0.1","0.17029506525656662","18711","634.6614681879679","605.9251703996207","635.8238887786865","1.397748224","1.397748224","604.8152747747007","1903.984404563904"
